GEO.id,GEO.id2,GEO.display-label,POPGROUP.id,POPGROUP.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03
0500000US01031,01031,"Coffee County, Alabama",012,Asian alone (400-499),627,98,627,(X)
0500000US01033,01033,"Colbert County, Alabama",002,White alone,43311,261,43311,(X)
0500000US01033,01033,"Colbert County, Alabama",004,Black or African American alone,8478,301,8478,(X)
0500000US01035,01035,"Conecuh County, Alabama",002,White alone,6710,55,6710,(X)
0500000US01035,01035,"Conecuh County, Alabama",004,Black or African American alone,5752,203,5752,(X)
0500000US01037,01037,"Coosa County, Alabama",002,White alone,7427,18,7427,(X)
0500000US01037,01037,"Coosa County, Alabama",004,Black or African American alone,3384,175,3384,(X)
0500000US01039,01039,"Covington County, Alabama",002,White alone,31954,91,31954,(X)
0500000US01039,01039,"Covington County, Alabama",004,Black or African American alone,4933,84,4933,(X)
0500000US01041,01041,"Crenshaw County, Alabama",002,White alone,9966,87,9966,(X)
0500000US01041,01041,"Crenshaw County, Alabama",004,Black or African American alone,3277,97,3277,(X)
0500000US01043,01043,"Cullman County, Alabama",002,White alone,77478,356,77478,(X)
0500000US01043,01043,"Cullman County, Alabama",004,Black or African American alone,964,167,964,(X)
0500000US01045,01045,"Dale County, Alabama",002,White alone,37232,404,37232,(X)
0500000US01045,01045,"Dale County, Alabama",004,Black or African American alone,9798,194,9798,(X)
0500000US01045,01045,"Dale County, Alabama",012,Asian alone (400-499),588,91,588,(X)
0500000US01047,01047,"Dallas County, Alabama",002,White alone,12085,38,12085,(X)
0500000US01047,01047,"Dallas County, Alabama",004,Black or African American alone,29164,257,29164,(X)
0500000US01049,01049,"DeKalb County, Alabama",002,White alone,61415,844,61415,(X)
0500000US01049,01049,"DeKalb County, Alabama",004,Black or African American alone,1295,152,1295,(X)
0500000US01049,01049,"DeKalb County, Alabama",006,"American Indian and Alaska Native alone (300, A01-Z99)",877,284,877,(X)
0500000US01049,01049,"DeKalb County, Alabama",070,Some other race alone,4936,959,4936,(X)
0500000US01051,01051,"Elmore County, Alabama",002,White alone,60989,348,60989,(X)
0500000US01051,01051,"Elmore County, Alabama",004,Black or African American alone,17137,236,17137,(X)
0500000US01053,01053,"Escambia County, Alabama",002,White alone,23303,140,23303,(X)
0500000US01053,01053,"Escambia County, Alabama",004,Black or African American alone,12678,241,12678,(X)
0500000US01053,01053,"Escambia County, Alabama",006,"American Indian and Alaska Native alone (300, A01-Z99)",1207,93,1207,(X)
0500000US01055,01055,"Etowah County, Alabama",002,White alone,84312,367,84312,(X)
0500000US01055,01055,"Etowah County, Alabama",004,Black or African American alone,16025,226,16025,(X)
0500000US01055,01055,"Etowah County, Alabama",012,Asian alone (400-499),679,93,679,(X)
0500000US01055,01055,"Etowah County, Alabama",070,Some other race alone,724,341,724,(X)
0500000US01057,01057,"Fayette County, Alabama",002,White alone,14454,52,14454,(X)
0500000US01057,01057,"Fayette County, Alabama",004,Black or African American alone,2093,215,2093,(X)
0500000US01059,01059,"Franklin County, Alabama",002,White alone,27924,708,27924,(X)
0500000US01059,01059,"Franklin County, Alabama",004,Black or African American alone,1554,389,1554,(X)
0500000US01061,01061,"Geneva County, Alabama",002,White alone,23195,190,23195,(X)
0500000US01061,01061,"Geneva County, Alabama",004,Black or African American alone,2387,333,2387,(X)
0500000US01063,01063,"Greene County, Alabama",002,White alone,1547,16,1547,(X)
0500000US01063,01063,"Greene County, Alabama",004,Black or African American alone,7015,118,7015,(X)
0500000US01065,01065,"Hale County, Alabama",002,White alone,6097,14,6097,(X)
0500000US01065,01065,"Hale County, Alabama",004,Black or African American alone,8886,60,8886,(X)
0500000US01067,01067,"Henry County, Alabama",002,White alone,12140,71,12140,(X)
0500000US01067,01067,"Henry County, Alabama",004,Black or African American alone,4891,33,4891,(X)
0500000US01069,01069,"Houston County, Alabama",002,White alone,72170,242,72170,(X)
0500000US01069,01069,"Houston County, Alabama",004,Black or African American alone,27359,177,27359,(X)
0500000US01069,01069,"Houston County, Alabama",006,"American Indian and Alaska Native alone (300, A01-Z99)",383,86,383,(X)
0500000US01069,01069,"Houston County, Alabama",012,Asian alone (400-499),792,84,792,(X)
0500000US01069,01069,"Houston County, Alabama",070,Some other race alone,853,195,853,(X)
0500000US01071,01071,"Jackson County, Alabama",002,White alone,48087,261,48087,(X)
0500000US01071,01071,"Jackson County, Alabama",004,Black or African American alone,1635,157,1635,(X)
0500000US01073,01073,"Jefferson County, Alabama",002,White alone,347760,1158,347760,(X)
0500000US01073,01073,"Jefferson County, Alabama",004,Black or African American alone,279086,900,279086,(X)
0500000US01073,01073,"Jefferson County, Alabama",006,"American Indian and Alaska Native alone (300, A01-Z99)",1515,322,1515,(X)
0500000US01073,01073,"Jefferson County, Alabama",012,Asian alone (400-499),10348,356,10348,(X)
0500000US01073,01073,"Jefferson County, Alabama",070,Some other race alone,12603,1415,12603,(X)
0500000US01075,01075,"Lamar County, Alabama",002,White alone,12350,18,12350,(X)
0500000US01075,01075,"Lamar County, Alabama",004,Black or African American alone,1565,89,1565,(X)
0500000US01077,01077,"Lauderdale County, Alabama",002,White alone,80613,185,80613,(X)
0500000US01077,01077,"Lauderdale County, Alabama",004,Black or African American alone,9239,264,9239,(X)
0500000US01079,01079,"Lawrence County, Alabama",002,White alone,25978,170,25978,(X)
0500000US01079,01079,"Lawrence County, Alabama",004,Black or African American alone,3848,87,3848,(X)
0500000US01079,01079,"Lawrence County, Alabama",006,"American Indian and Alaska Native alone (300, A01-Z99)",1826,288,1826,(X)
0500000US01081,01081,"Lee County, Alabama",002,White alone,105518,694,105518,(X)
0500000US01081,01081,"Lee County, Alabama",004,Black or African American alone,35095,627,35095,(X)
0500000US01081,01081,"Lee County, Alabama",012,Asian alone (400-499),4947,205,4947,(X)
0500000US01081,01081,"Lee County, Alabama",070,Some other race alone,2603,784,2603,(X)
0500000US01083,01083,"Limestone County, Alabama",002,White alone,71980,667,71980,(X)
0500000US01083,01083,"Limestone County, Alabama",004,Black or African American alone,11426,279,11426,(X)
0500000US01083,01083,"Limestone County, Alabama",012,Asian alone (400-499),1106,159,1106,(X)
0500000US01083,01083,"Limestone County, Alabama",070,Some other race alone,1814,619,1814,(X)
0500000US01085,01085,"Lowndes County, Alabama",002,White alone,2739,26,2739,(X)
0500000US01085,01085,"Lowndes County, Alabama",004,Black or African American alone,7955,49,7955,(X)
0500000US01087,01087,"Macon County, Alabama",002,White alone,3370,84,3370,(X)
0500000US01087,01087,"Macon County, Alabama",004,Black or African American alone,16271,144,16271,(X)
0500000US01089,01089,"Madison County, Alabama",002,White alone,238799,824,238799,(X)
0500000US01089,01089,"Madison County, Alabama",004,Black or African American alone,83437,797,83437,(X)
0500000US01089,01089,"Madison County, Alabama",006,"American Indian and Alaska Native alone (300, A01-Z99)",2039,261,2039,(X)
0500000US01089,01089,"Madison County, Alabama",012,Asian alone (400-499),8622,458,8622,(X)
0500000US01089,01089,"Madison County, Alabama",070,Some other race alone,2929,685,2929,(X)
0500000US01091,01091,"Marengo County, Alabama",002,White alone,9482,104,9482,(X)
0500000US01091,01091,"Marengo County, Alabama",004,Black or African American alone,10443,113,10443,(X)
0500000US01093,01093,"Marion County, Alabama",002,White alone,28448,155,28448,(X)
0500000US01093,01093,"Marion County, Alabama",004,Black or African American alone,1170,252,1170,(X)
0500000US01095,01095,"Marshall County, Alabama",002,White alone,86785,767,86785,(X)
0500000US01095,01095,"Marshall County, Alabama",004,Black or African American alone,1811,195,1811,(X)
0500000US01095,01095,"Marshall County, Alabama",006,"American Indian and Alaska Native alone (300, A01-Z99)",454,181,454,(X)
0500000US01095,01095,"Marshall County, Alabama",012,Asian alone (400-499),458,91,458,(X)
0500000US01095,01095,"Marshall County, Alabama",070,Some other race alone,2901,813,2901,(X)
0500000US01097,01097,"Mobile County, Alabama",002,White alone,248566,719,248566,(X)
0500000US01097,01097,"Mobile County, Alabama",004,Black or African American alone,145175,684,145175,(X)
0500000US01097,01097,"Mobile County, Alabama",006,"American Indian and Alaska Native alone (300, A01-Z99)",2680,430,2680,(X)
0500000US01097,01097,"Mobile County, Alabama",012,Asian alone (400-499),8148,280,8148,(X)
0500000US01097,01097,"Mobile County, Alabama",070,Some other race alone,2781,693,2781,(X)
0500000US01099,01099,"Monroe County, Alabama",002,White alone,12315,80,12315,(X)
0500000US01099,01099,"Monroe County, Alabama",004,Black or African American alone,9382,105,9382,(X)
0500000US01101,01101,"Montgomery County, Alabama",002,White alone,88800,555,88800,(X)
0500000US01101,01101,"Montgomery County, Alabama",004,Black or African American alone,127961,424,127961,(X)
0500000US01101,01101,"Montgomery County, Alabama",012,Asian alone (400-499),5164,445,5164,(X)
0500000US01101,01101,"Montgomery County, Alabama",070,Some other race alone,2310,554,2310,(X)
0500000US01103,01103,"Morgan County, Alabama",002,White alone,99051,561,99051,(X)
0500000US01103,01103,"Morgan County, Alabama",004,Black or African American alone,14717,306,14717,(X)
0500000US01103,01103,"Morgan County, Alabama",006,"American Indian and Alaska Native alone (300, A01-Z99)",758,235,758,(X)
0500000US01103,01103,"Morgan County, Alabama",070,Some other race alone,1817,557,1817,(X)
0500000US01105,01105,"Perry County, Alabama",002,White alone,3075,45,3075,(X)
0500000US01105,01105,"Perry County, Alabama",004,Black or African American alone,6829,100,6829,(X)
0500000US01107,01107,"Pickens County, Alabama",002,White alone,11155,102,11155,(X)
0500000US01107,01107,"Pickens County, Alabama",004,Black or African American alone,8412,168,8412,(X)
0500000US01109,01109,"Pike County, Alabama",002,White alone,19188,129,19188,(X)
0500000US01109,01109,"Pike County, Alabama",004,Black or African American alone,12665,160,12665,(X)
0500000US01109,01109,"Pike County, Alabama",012,Asian alone (400-499),708,59,708,(X)
0500000US01111,01111,"Randolph County, Alabama",002,White alone,17486,152,17486,(X)
0500000US01111,01111,"Randolph County, Alabama",004,Black or African American alone,4520,267,4520,(X)
0500000US01113,01113,"Russell County, Alabama",002,White alone,31032,371,31032,(X)
0500000US01113,01113,"Russell County, Alabama",004,Black or African American alone,24411,352,24411,(X)
0500000US01115,01115,"St. Clair County, Alabama",002,White alone,75040,406,75040,(X)
0500000US01115,01115,"St. Clair County, Alabama",004,Black or African American alone,8134,237,8134,(X)
0500000US01115,01115,"St. Clair County, Alabama",012,Asian alone (400-499),719,119,719,(X)
0500000US01117,01117,"Shelby County, Alabama",002,White alone,165486,795,165486,(X)
0500000US01117,01117,"Shelby County, Alabama",004,Black or African American alone,23940,316,23940,(X)
0500000US01117,01117,"Shelby County, Alabama",012,Asian alone (400-499),4147,273,4147,(X)
0500000US01117,01117,"Shelby County, Alabama",070,Some other race alone,6783,823,6783,(X)
0500000US01119,01119,"Sumter County, Alabama",002,White alone,3335,32,3335,(X)
0500000US01119,01119,"Sumter County, Alabama",004,Black or African American alone,9665,140,9665,(X)
0500000US01121,01121,"Talladega County, Alabama",002,White alone,52661,261,52661,(X)
0500000US01121,01121,"Talladega County, Alabama",004,Black or African American alone,26023,282,26023,(X)
0500000US01123,01123,"Tallapoosa County, Alabama",002,White alone,28928,266,28928,(X)
0500000US01123,01123,"Tallapoosa County, Alabama",004,Black or African American alone,11404,200,11404,(X)
0500000US01125,01125,"Tuscaloosa County, Alabama",002,White alone,132600,483,132600,(X)
0500000US01125,01125,"Tuscaloosa County, Alabama",004,Black or African American alone,61307,282,61307,(X)
0500000US01125,01125,"Tuscaloosa County, Alabama",012,Asian alone (400-499),2953,169,2953,(X)
0500000US01125,01125,"Tuscaloosa County, Alabama",070,Some other race alone,1261,474,1261,(X)
0500000US01127,01127,"Walker County, Alabama",002,White alone,60067,258,60067,(X)
0500000US01127,01127,"Walker County, Alabama",004,Black or African American alone,3801,234,3801,(X)
0500000US01129,01129,"Washington County, Alabama",002,White alone,11156,77,11156,(X)
0500000US01129,01129,"Washington County, Alabama",004,Black or African American alone,4224,79,4224,(X)
0500000US01129,01129,"Washington County, Alabama",006,"American Indian and Alaska Native alone (300, A01-Z99)",1375,18,1375,(X)
0500000US01131,01131,"Wilcox County, Alabama",002,White alone,3073,18,3073,(X)
0500000US01131,01131,"Wilcox County, Alabama",004,Black or African American alone,8092,64,8092,(X)
0500000US01133,01133,"Winston County, Alabama",002,White alone,23207,141,23207,(X)
0500000US02013,02013,"Aleutians East Borough, Alaska",002,White alone,712,82,712,(X)
0500000US02013,02013,"Aleutians East Borough, Alaska",004,Black or African American alone,304,95,304,(X)
0500000US02013,02013,"Aleutians East Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",979,172,979,(X)
0500000US02013,02013,"Aleutians East Borough, Alaska",012,Asian alone (400-499),1009,184,1009,(X)
0500000US02016,02016,"Aleutians West Census Area, Alaska",002,White alone,1794,74,1794,(X)
0500000US02016,02016,"Aleutians West Census Area, Alaska",004,Black or African American alone,269,69,269,(X)
0500000US02016,02016,"Aleutians West Census Area, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",738,23,738,(X)
0500000US02016,02016,"Aleutians West Census Area, Alaska",012,Asian alone (400-499),2112,118,2112,(X)
0500000US02016,02016,"Aleutians West Census Area, Alaska",050,Native Hawaiian and Other Pacific Islander alone (500-599),141,4,141,(X)
0500000US02016,02016,"Aleutians West Census Area, Alaska",070,Some other race alone,301,77,301,(X)
0500000US02020,02020,"Anchorage Municipality, Alaska",002,White alone,194254,1018,194254,(X)
0500000US02020,02020,"Anchorage Municipality, Alaska",004,Black or African American alone,17511,582,17511,(X)
0500000US02020,02020,"Anchorage Municipality, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",19745,1211,19745,(X)
0500000US02020,02020,"Anchorage Municipality, Alaska",012,Asian alone (400-499),26323,908,26323,(X)
0500000US02020,02020,"Anchorage Municipality, Alaska",050,Native Hawaiian and Other Pacific Islander alone (500-599),6436,311,6436,(X)
0500000US02020,02020,"Anchorage Municipality, Alaska",070,Some other race alone,5226,877,5226,(X)
0500000US02050,02050,"Bethel Census Area, Alaska",002,White alone,2136,79,2136,(X)
0500000US02050,02050,"Bethel Census Area, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",14415,223,14415,(X)
0500000US02060,02060,"Bristol Bay Borough, Alaska",002,White alone,547,64,547,(X)
0500000US02060,02060,"Bristol Bay Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",284,45,284,(X)
0500000US02068,02068,"Denali Borough, Alaska",002,White alone,1799,151,1799,(X)
0500000US02070,02070,"Dillingham Census Area, Alaska",002,White alone,932,35,932,(X)
0500000US02070,02070,"Dillingham Census Area, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",3619,68,3619,(X)
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",002,White alone,76423,518,76423,(X)
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",004,Black or African American alone,4340,396,4340,(X)
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",6288,655,6288,(X)
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",012,Asian alone (400-499),2621,225,2621,(X)
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",070,Some other race alone,889,353,889,(X)
0500000US02100,02100,"Haines Borough, Alaska",002,White alone,2062,156,2062,(X)
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",002,White alone,1069,107,1069,(X)
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",708,88,708,(X)
0500000US02110,02110,"Juneau City and Borough, Alaska",002,White alone,22445,198,22445,(X)
0500000US02110,02110,"Juneau City and Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",4017,390,4017,(X)
0500000US02110,02110,"Juneau City and Borough, Alaska",012,Asian alone (400-499),2216,242,2216,(X)
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",002,White alone,48115,179,48115,(X)
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",004,Black or African American alone,363,61,363,(X)
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",4355,327,4355,(X)
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",012,Asian alone (400-499),732,145,732,(X)
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",002,White alone,9280,89,9280,(X)
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",1960,153,1960,(X)
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",012,Asian alone (400-499),1001,71,1001,(X)
0500000US02150,02150,"Kodiak Island Borough, Alaska",002,White alone,7549,160,7549,(X)
0500000US02150,02150,"Kodiak Island Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",1956,168,1956,(X)
0500000US02150,02150,"Kodiak Island Borough, Alaska",012,Asian alone (400-499),2973,105,2973,(X)
0500000US02158,02158,"Kusilvak Census Area, Alaska",002,White alone,372,24,372,(X)
0500000US02158,02158,"Kusilvak Census Area, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",6965,71,6965,(X)
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",002,White alone,325,56,325,(X)
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",1012,110,1012,(X)
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",002,White alone,80815,281,80815,(X)
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",004,Black or African American alone,959,161,959,(X)
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",5072,371,5072,(X)
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",012,Asian alone (400-499),1386,209,1386,(X)
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",070,Some other race alone,685,238,685,(X)
0500000US02180,02180,"Nome Census Area, Alaska",002,White alone,1720,25,1720,(X)
0500000US02180,02180,"Nome Census Area, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",6913,127,6913,(X)
0500000US02185,02185,"North Slope Borough, Alaska",002,White alone,3187,51,3187,(X)
0500000US02185,02185,"North Slope Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",4645,253,4645,(X)
0500000US02185,02185,"North Slope Borough, Alaska",012,Asian alone (400-499),515,41,515,(X)
0500000US02185,02185,"North Slope Borough, Alaska",050,Native Hawaiian and Other Pacific Islander alone (500-599),537,200,537,(X)
0500000US02188,02188,"Northwest Arctic Borough, Alaska",002,White alone,949,19,949,(X)
0500000US02188,02188,"Northwest Arctic Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",6343,77,6343,(X)
0500000US02195,02195,"Petersburg Borough, Alaska",002,White alone,2325,146,2325,(X)
0500000US02195,02195,"Petersburg Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",194,59,194,(X)
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",002,White alone,2978,23,2978,(X)
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",2672,94,2672,(X)
0500000US02220,02220,"Sitka City and Borough, Alaska",002,White alone,5800,93,5800,(X)
0500000US02220,02220,"Sitka City and Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",1317,186,1317,(X)
0500000US02220,02220,"Sitka City and Borough, Alaska",012,Asian alone (400-499),526,48,526,(X)
0500000US02230,02230,"Skagway Municipality, Alaska",002,White alone,782,82,782,(X)
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",002,White alone,5604,47,5604,(X)
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",742,73,742,(X)
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",002,White alone,7044,154,7044,(X)
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",1501,183,1501,(X)
0500000US02275,02275,"Wrangell City and Borough, Alaska",002,White alone,1665,95,1665,(X)
0500000US02275,02275,"Wrangell City and Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",414,87,414,(X)
0500000US02282,02282,"Yakutat City and Borough, Alaska",002,White alone,255,48,255,(X)
0500000US02282,02282,"Yakutat City and Borough, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",213,41,213,(X)
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",002,White alone,1312,17,1312,(X)
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",006,"American Indian and Alaska Native alone (300, A01-Z99)",3948,40,3948,(X)
0500000US04001,04001,"Apache County, Arizona",002,White alone,16762,382,16762,(X)
0500000US04001,04001,"Apache County, Arizona",006,"American Indian and Alaska Native alone (300, A01-Z99)",52154,253,52154,(X)
0500000US04001,04001,"Apache County, Arizona",070,Some other race alone,762,257,762,(X)
0500000US04003,04003,"Cochise County, Arizona",002,White alone,103744,1281,103744,(X)
0500000US04003,04003,"Cochise County, Arizona",004,Black or African American alone,5023,413,5023,(X)
0500000US04003,04003,"Cochise County, Arizona",006,"American Indian and Alaska Native alone (300, A01-Z99)",1519,323,1519,(X)
0500000US04003,04003,"Cochise County, Arizona",012,Asian alone (400-499),2177,270,2177,(X)
0500000US04003,04003,"Cochise County, Arizona",070,Some other race alone,9449,1208,9449,(X)
0500000US04005,04005,"Coconino County, Arizona",002,White alone,85870,908,85870,(X)
0500000US04005,04005,"Coconino County, Arizona",004,Black or African American alone,2137,219,2137,(X)
0500000US04005,04005,"Coconino County, Arizona",006,"American Indian and Alaska Native alone (300, A01-Z99)",36791,638,36791,(X)
0500000US04005,04005,"Coconino County, Arizona",012,Asian alone (400-499),2267,255,2267,(X)
0500000US04005,04005,"Coconino County, Arizona",070,Some other race alone,4890,867,4890,(X)
0500000US04007,04007,"Gila County, Arizona",002,White alone,42077,330,42077,(X)
0500000US04007,04007,"Gila County, Arizona",006,"American Indian and Alaska Native alone (300, A01-Z99)",8029,183,8029,(X)
0500000US04007,04007,"Gila County, Arizona",070,Some other race alone,1041,290,1041,(X)
0500000US04009,04009,"Graham County, Arizona",002,White alone,28820,488,28820,(X)
0500000US04009,04009,"Graham County, Arizona",004,Black or African American alone,782,89,782,(X)
0500000US04009,04009,"Graham County, Arizona",006,"American Indian and Alaska Native alone (300, A01-Z99)",5048,189,5048,(X)
0500000US04009,04009,"Graham County, Arizona",070,Some other race alone,1489,439,1489,(X)
0500000US04011,04011,"Greenlee County, Arizona",002,White alone,8063,169,8063,(X)
0500000US04012,04012,"La Paz County, Arizona",002,White alone,15033,413,15033,(X)
0500000US04012,04012,"La Paz County, Arizona",006,"American Indian and Alaska Native alone (300, A01-Z99)",2805,199,2805,(X)
0500000US04012,04012,"La Paz County, Arizona",070,Some other race alone,1827,427,1827,(X)
0500000US04013,04013,"Maricopa County, Arizona",002,White alone,3197669,8331,3197669,(X)
0500000US04013,04013,"Maricopa County, Arizona",004,Black or African American alone,209789,2363,209789,(X)
0500000US04013,04013,"Maricopa County, Arizona",006,"American Indian and Alaska Native alone (300, A01-Z99)",76621,1672,76621,(X)
0500000US04013,04013,"Maricopa County, Arizona",012,Asian alone (400-499),152248,1739,152248,(X)
0500000US04013,04013,"Maricopa County, Arizona",050,Native Hawaiian and Other Pacific Islander alone (500-599),8062,492,8062,(X)
0500000US04013,04013,"Maricopa County, Arizona",070,Some other race alone,248655,7585,248655,(X)
0500000US04015,04015,"Mohave County, Arizona",002,White alone,181085,1114,181085,(X)
0500000US04015,04015,"Mohave County, Arizona",004,Black or African American alone,2292,248,2292,(X)
0500000US04015,04015,"Mohave County, Arizona",006,"American Indian and Alaska Native alone (300, A01-Z99)",4169,428,4169,(X)
0500000US04015,04015,"Mohave County, Arizona",012,Asian alone (400-499),2497,311,2497,(X)
0500000US04015,04015,"Mohave County, Arizona",070,Some other race alone,5969,912,5969,(X)
0500000US04017,04017,"Navajo County, Arizona",002,White alone,52106,615,52106,(X)
